epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.1938,2.50794,3.10601,1.06952,0.96554,0.12174,0.40377,0.17379,2.26331,2.4845,1.05066,0.00991071,0.00330357,0.00991071,0.00330357,0.00991071,0.00330357,0.00991071,0.00330357
2,41.1453,2.24381,1.55833,0.92226,0.66113,0.54001,0.54899,0.22322,2.25642,1.28196,1.09655,0.0197136,0.0065712,0.0197136,0.0065712,0.0197136,0.0065712,0.0197136,0.0065712
3,61.1895,2.28287,1.38967,0.92328,0.42574,0.44895,0.38496,0.16113,2.33356,1.71744,1.08998,0.0293185,0.00977283,0.0293185,0.00977283,0.0293185,0.00977283,0.0293185,0.00977283
4,81.6123,2.1946,1.24168,0.90813,0.60237,0.57546,0.56138,0.24785,2.09493,1.36952,0.99354,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,100.132,2.08014,1.1082,0.89445,0.63994,0.57296,0.57834,0.25279,2.41235,1.3372,1.16941,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,118.479,2.02229,1.03922,0.88186,0.73936,0.66122,0.65645,0.28784,2.00797,1.0071,1.01054,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,137.299,1.95018,0.98298,0.87379,0.77392,0.68435,0.69711,0.31385,1.96493,1.04746,0.9669,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,156.24,1.9048,0.94739,0.86845,0.803,0.69568,0.70121,0.29975,2.07347,0.98396,0.99208,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,176.243,1.86148,0.9233,0.86351,0.79707,0.73152,0.73392,0.34972,1.77637,0.90714,0.91173,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,196.306,1.83161,0.89358,0.85833,0.79072,0.7178,0.71723,0.30724,2.05324,0.96195,0.98147,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,215.93,1.82021,0.8789,0.85639,0.80585,0.73697,0.73506,0.34006,1.84512,0.90328,0.93709,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,235.672,1.76878,0.855,0.8529,0.77841,0.71834,0.71221,0.32785,2.00361,0.98122,0.97939,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,255.16,1.75469,0.83622,0.85078,0.77126,0.72948,0.73739,0.36027,1.82327,0.87553,0.94062,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,275.396,1.7409,0.83008,0.84705,0.80581,0.75665,0.73307,0.36411,1.75847,0.85429,0.9241,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,295.369,1.72036,0.81625,0.84626,0.80544,0.74603,0.74542,0.36299,1.69405,0.8573,0.91071,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,315.453,1.70651,0.80897,0.84619,0.82144,0.75597,0.76522,0.38342,1.84354,0.90043,0.95781,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,335.433,1.69957,0.79761,0.84495,0.81154,0.7481,0.75864,0.38159,1.6824,0.83045,0.923,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,355.104,1.68067,0.7889,0.84047,0.85274,0.73237,0.75036,0.36853,1.71528,0.86606,0.90765,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,374.878,1.66549,0.78662,0.83989,0.78973,0.7751,0.7686,0.38766,1.68554,0.85443,0.91617,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,394.645,1.66137,0.77561,0.83846,0.80981,0.75544,0.7658,0.39173,1.64832,0.82318,0.90448,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,414.296,1.63743,0.76425,0.83547,0.85192,0.7554,0.79109,0.40113,1.61743,0.80618,0.8932,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,434.095,1.63306,0.76157,0.83539,0.87689,0.73661,0.77422,0.39402,1.65094,0.86908,0.90251,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,454.445,1.61978,0.75098,0.83452,0.85309,0.76826,0.78824,0.39183,1.71961,0.82514,0.91928,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,475.27,1.60437,0.74052,0.83263,0.84633,0.74358,0.77696,0.39608,1.75975,0.87306,0.92993,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,496.105,1.59212,0.73535,0.83305,0.8398,0.7699,0.78016,0.39633,1.69782,0.85076,0.9148,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,517.014,1.60136,0.73967,0.83004,0.82704,0.76293,0.7617,0.39091,1.66039,0.78756,0.89932,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,538.089,1.58887,0.73283,0.83078,0.81752,0.76943,0.7847,0.41515,1.58342,0.78733,0.88729,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
